English,Arabic
أم, Mother
أخ, Brother
أخت, Sister
ابن, Son
ابنة, Daughter
جد, Grandfather
جدة, Grandmother
رجل, Man
امرأة, Woman
ولد, Boy
بنت, Girl
صديق, Friend
معلم, Teacher
طالب, Student
مدرسة, School
جامعة, University
كتاب, Book
قلم, Pen
ورقة, Paper
مكتب, Desk
كرسي, Chair
باب, Door
نافذة, Window
غرفة, Room
منزل, House
شارع, Street
مدينة, City
قرية, Village
بلد, Country
بحر, Sea
نهر, River
جبل, Mountain
سماء, Sky
شمس, Sun
قمر, Moon
نجمة, Star
مطر, Rain
ثلج, Snow
ريح, Wind
نار, Fire
ماء, Water
هواء, Air
أرض, Earth
شجرة, Tree
زهرة, Flower
طعام, Food
شراب, Drink
تفاحة, Apple
موز, Banana
برتقال, Orange
عنب, Grapes
دجاج, Chicken
سمك, Fish
خبز, Bread
جبن, Cheese
ملح, Salt
سكر, Sugar
أرز, Rice
بيض, Egg
زيت, Oil
حليب, Milk
قهوة, Coffee
شاي, Tea
ساعة, Clock
أسبوع, Week
شهر, Month
سنة, Year
وقت, Time
ظهر, Noon
مساء, Evening
ليل, Night
قبيح, Ugly
سعيد, Happy
حزين, Sad
كبير, Big
صغير, Small
طويل, Tall
قصير, Short
سريع, Fast
بطيء, Slow
ثقيل, Heavy
خفيف, Light
قديم, Old
جديد, New
بسيط, Simple
معقد, Complex
رخيص, Cheap
غالي, Expensive
حار, Hot
بارد, Cold
سهل, Easy
ذكي, Smart
غبي, Stupid
قوي, Strong
صحيح, Correct
خطأ, Wrong
